Idx,Distance,MPF,RESP_Azi,RESP_Ele,POOA_1,POOA_2,POOA_3,RSSI_1,RSSI_2,RSSI_3,Gain_idx
22252,42.531203,0,79.745132,33.160839,174.188055,176.868801,3.131199,-35,-39,-50,6
22253,42.765641,0,77.073380,28.464293,170.672323,175.143895,21.929380,-35,-38,-50,6
22254,42.414017,0,77.073380,27.792858,168.409070,175.143895,22.742393,-35,-38,-50,6
22255,42.062578,0,77.073380,28.016670,168.431043,175.143895,21.874447,-35,-38,-50,6
22256,43.117212,0,80.640381,33.160839,174.188055,177.385174,3.570666,-35,-38,-50,6
22257,42.062444,0,79.087685,31.597656,169.749443,176.418348,6.207465,-35,-39,-50,6
22258,42.765663,0,-67.005356,28.911917,172.430189,-165.310831,21.423994,-35,-38,-50,6
22259,43.117222,0,77.744812,32.045280,170.881069,175.583361,5.152745,-35,-38,-50,6
22260,42.765750,0,79.745132,32.265594,172.012696,176.868801,4.867092,-35,-38,-50,6
22261,43.117213,0,76.401947,32.265594,172.155522,174.638508,4.933012,-35,-38,-50,6
22262,42.648431,0,79.087685,32.489407,172.452162,176.429334,4.878079,-35,-39,-50,6
22263,42.882959,0,77.521004,32.265594,171.430403,175.440535,4.460585,-35,-39,-50,6
22264,42.531424,0,83.773743,33.608463,176.484268,178.648640,3.515732,-35,-38,-50,6
22265,42.765794,0,-66.333916,32.489407,172.408216,-164.552751,4.922025,-35,-38,-50,6
22266,42.648358,0,78.192436,32.045280,170.210883,175.890988,4.856105,-35,-38,-51,6
22267,42.179742,0,81.535622,33.160839,174.638508,177.758721,3.581652,-35,-38,-50,6
22268,42.531201,0,77.073380,31.597656,169.320963,175.143895,5.822932,-35,-38,-50,6
22269,43.234410,0,79.745132,32.489407,172.452162,176.868801,4.856105,-35,-38,-50,6
22270,42.648540,0,81.535622,32.713215,173.331095,177.758721,4.427625,-35,-38,-50,6
22271,42.414119,0,-63.550262,28.464293,173.353069,-160.916166,24.840846,-35,-38,-50,6
22272,42.648336,0,77.744812,32.045280,170.979949,175.583361,4.768212,-35,-38,-50,6
22273,43.468780,0,-66.557732,28.240480,171.056856,-164.860378,22.764367,-35,-38,-50,6
22274,42.296777,0,82.654686,31.597656,170.447096,178.209174,6.229438,-35,-39,-50,6
22275,42.531351,0,83.773743,32.045280,172.397229,178.670614,6.251411,-35,-39,-50,6
22276,42.414093,0,85.340424,32.045280,172.902615,179.099094,7.547838,-35,-38,-49,6
22277,43.234440,0,80.640381,31.373844,168.420057,177.319254,5.811945,-35,-38,-49,6
22278,42.648565,0,-68.012505,28.016670,170.155950,-166.651204,23.599353,-35,-38,-49,6
22279,42.648477,0,80.192757,31.597656,170.617389,177.126988,7.152318,-35,-38,-49,6
22280,43.234429,0,81.535622,31.150032,169.309977,177.769707,7.558824,-35,-38,-49,6
22281,43.000102,0,-83.773743,32.265594,173.946348,-178.659627,6.943571,-35,-38,-49,6
22282,42.648568,0,-83.773743,31.373844,171.858882,-178.659627,9.031037,-35,-39,-49,6
22283,43.117346,0,-80.640381,30.926220,171.573229,-177.308267,10.668050,-35,-39,-49,6
22284,42.531135,0,-79.087685,31.597656,172.902615,-176.418348,9.349651,-35,-38,-49,6
22285,42.648366,0,-76.849571,32.489407,175.528428,-175.077975,7.910398,-35,-39,-49,6
22286,42.882978,0,-80.864189,31.821466,172.320322,-177.407147,7.097385,-35,-38,-49,6
22287,42.765597,0,-78.192436,31.597656,172.847682,-175.967895,8.888211,-35,-38,-50,6
22288,42.765640,0,-79.745132,32.045280,174.242988,-176.868801,8.229011,-35,-38,-49,6
22289,42.531315,0,-79.087685,30.926220,171.869869,-176.418348,11.557970,-35,-38,-50,6
22290,42.765837,0,-81.983246,31.373844,171.551256,-177.978454,8.888211,-35,-38,-50,6
22291,42.531280,0,-79.745132,31.597656,173.440962,-176.868801,9.800104,-35,-38,-50,6
22292,42.765538,0,-82.654686,31.821466,172.924589,-178.209174,8.492691,-35,-38,-49,6
22293,43.351543,0,-82.654686,31.821466,173.660695,-178.209174,8.580584,-35,-39,-50,6
22294,42.414165,0,-83.773743,33.160839,175.539415,-178.659627,4.878079,-35,-38,-50,6
22295,43.000058,0,-66.333916,30.478598,168.881497,-164.728538,10.668050,-35,-39,-50,6
22296,42.648526,0,-81.535622,27.345234,168.881497,-177.758721,25.511032,-35,-38,-50,6
22297,42.648484,0,-80.640381,32.937027,176.418348,-177.363201,6.207465,-35,-38,-49,6
22298,42.882804,0,-81.983246,31.150032,171.562243,-177.967467,9.580370,-35,-38,-50,6
22299,42.531165,0,-65.438675,27.569046,170.672323,-163.552965,25.840632,-35,-38,-50,6
22300,42.882771,0,-82.654686,31.821466,173.649709,-178.209174,8.580584,-35,-38,-49,6
22301,43.468777,0,-83.773743,30.926220,171.111789,-178.659627,10.228584,-35,-38,-49,6
22302,42.882757,0,-82.654686,30.926220,171.056856,-178.209174,10.733970,-35,-38,-50,6
22303,42.882900,0,-87.575043,31.373844,171.540269,-179.549547,9.327677,-35,-38,-50,6
22304,42.648391,0,-80.640381,31.150032,171.540269,-177.319254,10.294504,-35,-38,-50,6
22305,42.531175,0,-76.401947,32.045280,173.737602,-174.693442,8.256478,-35,-38,-49,6
22306,43.117345,0,-79.745132,31.150032,172.193976,-176.868801,10.486770,-35,-39,-50,6
